clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
188 187 4 9 1 IND Indigofera-sp. XXX XXX 3 1 N -1 -1 -1
188 187 4 10 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 1 1 N -1 -1 -1
188 187 4 11 1 DSP-ABY Diospyros-abyssinica XXX XXX 3.2 1 N -1 -1 -1
188 187 4 12 1 DSP-ABY Diospyros-abyssinica XXX XXX 2.7 1 N -1 -1 -1
188 187 4 13 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 3 1 N 4 5.5 -1
188 187 4 14 1 CTN Catunaregam-sp. XXX XXX 5.7 1 N -1 -1 -1
188 187 4 15 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 6.2 1 N -1 -1 -1
188 187 4 16 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 7.4 1 N -1 -1 -1
188 187 4 17 1 TRC Tricalysia-sp. XXX XXX 1.3 1 N -1 -1 -1
188 187 4 18 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 5.4 1 N 7 5.5 -1
188 187 4 19 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 8 1 N -1 -1 -1
188 187 4 20 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 18 1 N -1 -1 -1
188 187 4 20 2 HMN-ULM Hymenocardia-ulmoides XXX XXX 12.7 1 N -1 -1 -1
188 187 4 20 3 HMN-ULM Hymenocardia-ulmoides XXX XXX 9.2 1 N -1 -1 -1
188 187 4 20 4 HMN-ULM Hymenocardia-ulmoides XXX XXX 5.5 1 N 30 7 -1
188 187 4 21 1 OCH-HOL Ochna-holstii XXX XXX 14.5 1 N -1 -1 -1
188 187 4 22 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 11.5 1 N -1 -1 -1
188 187 4 23 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 11 1 N -1 -1 -1
188 187 4 24 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 11.8 1 N -1 -1 -1
188 187 3 1 1 CRO Croton-sp. XXX XXX 1.2 7 N -1 -1 -1
188 187 3 2 1 CRO Croton-sp. XXX XXX 1.7 1 N 3 3 -1
188 187 3 3 1 CRO Croton-sp. XXX XXX 1.3 1 N -1 -1 -1
188 187 3 4 1 CTN Catunaregam-sp. XXX XXX 6.5 1 N -1 -1 -1
188 187 3 4 2 CTN Catunaregam-sp. XXX XXX 2.5 1 N -1 -1 -1
188 187 3 5 1 CTN Catunaregam-sp. XXX XXX 3 1 N -1 -1 -1
188 187 3 6 1 CTN Catunaregam-sp. XXX XXX 3.2 1 N 3.8 2.5 -1
188 187 3 7 1 CRO Croton-sp. XXX XXX 2 1 N -1 -1 -1
188 187 3 8 1 CRO Croton-sp. XXX XXX 2.8 1 N -1 -1 -1
188 187 3 9 1 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
188 187 3 10 1 STR Strychnos-sp. XXX XXX 9.7 1 N -1 -1 -1
188 187 3 11 1 STR Strychnos-sp. XXX XXX 8 1 N 15.5 7.5 -1
188 187 3 11 2 STR Strychnos-sp. XXX XXX 7.8 1 N -1 -1 -1
188 187 3 12 1 STR Strychnos-sp. XXX XXX 7.5 1 N -1 -1 -1
188 187 3 13 1 STR Strychnos-sp. XXX XXX 6.7 1 N -1 -1 -1
188 187 3 14 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 6.7 1 N -1 -1 -1
188 187 3 15 1 FAG Fagaropsis-sp. XXX XXX 17.3 1 N 22.5 9.5 -1
188 187 3 16 1 FAG Fagaropsis-sp. XXX XXX 10.5 1 N -1 -1 -1
188 187 3 17 1 HOL-FEB Holarrhena-febrifuga XXX XXX 22.7 1 N -1 -1 -1
188 187 3 18 1 COM-BOI Commiphora-boiviana XXX XXX 35.5 1 N -1 -1 -1
188 187 2 1 1 COR Cordia-sp. XXX XXX 4 6 N -1 -1 -1
188 187 2 2 1 COR Cordia-sp. XXX XXX 3.5 6 N -1 -1 -1
188 187 2 3 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 9 1 N -1 -1 -1
188 187 2 3 2 HMN-ULM Hymenocardia-ulmoides XXX XXX 11.5 1 N 23.5 9 -1
188 187 2 4 1 CRO Croton-sp. XXX XXX 1.8 1 N -1 -1 -1
188 187 2 5 1 CRO Croton-sp. XXX XXX 2.5 7 N -1 -1 -1
188 187 2 6 1 CRO Croton-sp. XXX XXX 3.5 1 N -1 -1 -1
188 187 2 7 1 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
188 187 2 8 1 CRO Croton-sp. XXX XXX 1.7 1 N -1 -1 -1
188 187 2 9 1 UVR Uvariodendron-sp. XXX XXX 5 6 N -1 -1 -1
188 187 2 10 1 GRW Grewia-sp. XXX XXX 4.7 6 N -1 -1 -1
188 187 2 11 1 UVA Uvaria-sp. XXX XXX 11.5 1 N 15 10.8 -1
188 187 2 12 1 UVA Uvaria-sp. XXX XXX 5.5 1 N -1 -1 -1
188 187 2 13 1 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
